Price_CLP,Price_UF,Price_USD,Comuna,Ubicacion,Dorms,Baths,Built Area,Total Area,Parking,distan_parkKM,dist_schoolKM,NPisos,Estado,id,Realtor
145000000,4019,176829,Renca,AvenidaVicuñaMackenna,3,3,,170,2,"1,2","0,2",1,0,19665177,Ecm Inmobiliaria
338421020,9380,412709,Pudahuel,Miradores,3,3,132,450,2,"0,5","0,1",2,0,13253599,Tzanis Propiedades
140000000,3880,170732,Lampa,Coelemu,4,2,204,905,,"1,3","0,3",3,0,17335553,Echeverria Propiedades
110000000,3049,134146,PadreHurtado,CardenalAntonioSamore,2,1,50,150,2,"1,6","0,3",2,0,19610822,
487066500,13500,593984,LaReina,CarlosOssandon,5,3,700,140,,"0,4","0,1",1,0,7701940,Armacima
315691250,8750,384989,LaReina,Loreley,3,2,165,119,2,"0,6","0,1",2,0,7702267,Armacima
135000000,3742,164634,SanBernardo,SantaFilomena,3,2,180,120,1,"1,3","0,3",1,1,9887472,Armacima
86589600,2400,105597,Quilicura,CerroCatedral,3,1,60,82,1,"2,1","0,4",3,1,12839789,Armacima
138000000,3825,168293,Maipú,LasParcelas,3,1,51,128,2,"1,3","0,3",2,0,19593359,alejandra escanilla garrido
63030013,1747,76866,CerroNavia,TresdeJulio6663,4,1,62,144,1,"2,9","0,6",1,0,19574137,
162355500,4500,197995,Maipú,IgnacioGarcíaSilva,3,2,101,191,2,"1,1","0,2",3,0,19573365,Corredora De Propiedades Alto Coipue Spa
94000000,2605,114634,Maipú,Elcielo,3,1,55,100,1,"1,9","0,4",2,0,19569703,Corredora De Propiedades Alto Coipue Spa
742036793,20567,904923,Colina,LaHacienda//Chicureo//LaLaguna,5,3,341,1099,2,"0,2","0,0",1,0,11439813,Propital
150000000,4158,182927,Recoleta,Campino3190,4,1,123,123,1,"1,2","0,2",2,0,14203220,
122000000,3381,148780,Maipú,VolcánNavidad,3,2,81,108,1,"1,5","0,3",1,1,14237618,
158747600,4400,193595,Peñaflor,Condominioloprado,3,3,96,175,1,"1,1","0,2",3,1,10443357,Ricardo Home Propiedades
649422000,18000,791978,Providencia,Av.HernandodeAguirre3560,6,4,242,365,3,"0,3","0,1",2,0,15341155,Corretajes Ruiz
220000000,6098,268293,Buin,GermánSandovalMiranda635,3,3,96,253,2,"0,8","0,2",3,0,19171650,
129884400,3600,158396,PuenteAlto,SalardelNte.1316,3,3,90,150,3,"1,4","0,3",1,1,13243544,Carolina Martinez Propiedades
130000000,3603,158537,IsladeMaipo,LaMadrugada,3,2,120,400,5,"1,4","0,3",2,1,19270292,
378468710,10490,461547,Pudahuel,C.elCoihue,3,4,180,390,2,"0,5","0,1",3,1,9385257,Tzanis Propiedades
287188840,7960,350230,Maipú,UnoSur,3,2,184,256,2,"0,6","0,1",2,1,19253000,Tzanis Propiedades
155139700,4300,189195,Maipú,CalleSantaNidia,4,3,107,145,,"1,2","0,2",1,0,4003310,
148000000,4102,180488,Pudahuel,Loa,4,2,114,184,2,"1,2","0,2",2,1,6700046,
120000000,3326,146341,PuenteAlto,AvenidaLasNievesOriente,3,3,84,120,1,"1,5","0,3",1,0,10080601,Codalu Propiedades
85000000,2356,103659,Peñalolén,Calledos,3,2,71,112,1,"2,1","0,4",3,0,13200507,Codalu Propiedades
125000000,3465,152439,Quilicura,PresidenteRamónBarrosLuco,3,2,68,89,,"1,4","0,3",2,0,16230140,Codalu Propiedades
360000000,9978,439024,LoBarnechea,Joss,3,1,120,378,3,"0,5","0,1",1,0,19142793,Kvs properties
234513500,6500,285992,PuenteAlto,CaminodelAcueducto,5,3,107,220,1,"0,8","0,2",3,0,18302905,Corvalan & Asociados
292239900,8100,356390,Macul,RamónCruzMontt,3,3,100,377,3,"0,6","0,1",2,1,17716643,V&o Propiedades
120000000,3326,146341,QuintaNormal,NuevaImperial,2,1,96,247,1,"1,5","0,3",1,1,11933894,Cgs Corretaje Inmobiliario Spa
52000000,1441,63415,PuenteAlto,CerroParedones,3,1,78,61,,"3,5","0,7",3,0,11988681,Cgs Corretaje Inmobiliario Spa
150000000,4158,182927,Macul,Toledo6788,4,2,80,149,1,"1,2","0,2",2,1,18753140,Hoffmann & Asociados SpA
110000000,3049,134146,Maipú,ManuelTruccoGaete,3,2,76,120,1,"1,6","0,3",1,0,18625673,Gesinprop Gestión Inmobiliaria
58000000,1608,70732,Maipú,Zapiga,3,1,74,61,,"3,1","0,6",2,0,14016488,Sgq Propiedades
85000000,2356,103659,Maipú,PárrocoAlfonsoAlvarado,3,2,70,60,1,"2,1","0,4",3,1,19056602,Gesinprop Gestión Inmobiliaria
132770720,3680,161916,Buin,LosCiruelos2,3,2,65,113,1,"1,4","0,3",1,0,19044702,
158206415,4385,192935,PuenteAlto,RíoPetrohué4843,3,2,63,179,,"1,1","0,2",2,0,15127115,
132193456,3664,161212,Maipú,CalleSantaNidia,4,3,160,162,2,"1,4","0,3",3,1,16956248,Gesinprop Gestión Inmobiliaria
180000000,4989,219512,Santiago,Vichuquén,4,2,79,114,,"1,0","0,2",1,0,11791851,Corredora Fuentes Propiedades
140000000,3880,170732,Melipilla,Melipilla,,,,,,"1,3","0,3",2,1,19029132,
56000000,1552,68293,Melipilla,Melipilla,,,,,,"3,2","0,6",3,1,19029088,
57000000,1580,69512,Melipilla,Melipilla,,,,,,"3,2","0,6",2,1,19028765,
65000000,1802,79268,Melipilla,Melipilla,2,1,,,,"2,8","0,6",1,1,19027902,
75000000,2079,91463,Maipú,Asunción1552,2,1,45,60,1,"2,4","0,5",3,0,9543603,Ferrada & vial Spa
90197500,2500,109997,ElBosque,Capricornio,2,2,63,185,2,"2,0","0,4",2,1,15260042,Ferrada & vial Spa
216474000,6000,263993,Santiago,DavilaLarrain,7,2,111,172,,"0,8","0,2",1,0,16627385,
162355500,4500,197995,Quilicura,Sevendecasa,3,3,70,128,,"1,1","0,2",2,0,14514386,
209258200,5800,255193,Quilicura,Sevendecasaenavenida,3,2,114,153,,"0,9","0,2",1,0,14514382,
130000000,3603,158537,Maipú,Argentina,3,2,100,171,1,"1,4","0,3",3,0,18957740,Gesinprop Gestión Inmobiliaria
338421020,9380,412709,Pudahuel,losrododendrosponiente,4,3,160,400,2,"0,5","0,1",2,0,10370614,Tzanis Propiedades
180000000,4989,219512,Independencia,CarlosToribioRobinet,5,2,125,250,,"1,0","0,2",1,1,18929757,Essan
70000000,1940,85366,SanBernardo,Caminolavara,2,1,,,1,"2,6","0,5",3,1,18928570,Essan
106000000,2938,129268,PadreHurtado,PadreMartinGusinde,3,2,60,157,2,"1,7","0,3",2,1,18927869,Essan
142000000,3936,173171,ElBosque,CapitánAvalos,4,3,242,349,1,"1,3","0,3",1,0,15859376,
63000000,1746,76829,PuenteAlto,Sanhugo,2,1,,,1,"2,9","0,6",2,0,15460112,Evelyn Carrillo Santander
136000000,3770,165854,SanBernardo,CondominioBarriónuevodenos,3,3,92,148,1,"1,3","0,3",1,0,9060758,G A M P. Propiedades
145000000,4019,176829,SanBernardo,Av.Sta.Marta675,2,1,82,317,2,"1,2","0,2",3,1,18708254,Balance
113700000,3151,138659,LaFlorida,Verdi,4,2,68,100,1,"1,6","0,3",2,0,18561041,Recio Gestión Inmobiliaria Ltda
480000000,13304,585366,LaFlorida,Altomacul,5,6,240,600,2,"0,4","0,1",3,1,6474890,Inmobiliaria Barrio Nuevo SpA
537577100,14900,655582,LaFlorida,Cam.delPaisaje6800,5,6,240,600,7,"0,3","0,1",1,0,7946348,Inmobiliaria Barrio Nuevo SpA
120864650,3350,147396,Maipú,pasajepuertovelero,3,2,62,159,1,"1,5","0,3",2,1,18635523,Rosario
505106000,14000,615983,Conchalí,Lanín1758,6,3,275,600,6,"0,4","0,1",3,1,14141977,Hernán Arriagada
135000000,3742,164634,Peñalolén,Yelcho1516,4,2,138,250,1,"1,3","0,3",2,0,15839996,
260490380,7220,317671,QuintaNormal,TadeoVargas,4,3,198,354,1,"0,7","0,1",1,0,11588945,C & C Consultores Jurídico & Corredores Asociados
432948000,12000,527985,LaReina,ValenzuelaPuelma,4,3,250,215,1,"0,4","0,1",2,0,18617220,Puntoinmobiliario.cl
129162820,3580,157516,Maipú,ChañaralSur1656,4,3,83,115,1,"1,4","0,3",1,1,16649121,
75000000,2079,91463,Maipú,Esquinaavportales,3,1,,,,"2,4","0,5",3,1,13881390,Propital
130000000,3603,158537,EstaciónCentral,MigueldeCervantes,3,1,77,171,2,"1,4","0,3",2,1,9023136,Sp Rios Propiedades
288632000,8000,351990,Buin,LuisEugenioRiquelmePino,3,3,118,366,2,"0,6","0,1",1,1,16318207,V&o Propiedades
396869000,11000,483987,Peñalolén,QuilínNorte,4,4,168,283,2,"0,5","0,1",3,1,16319193,V&o Propiedades
80000000,2217,97561,LaFlorida,JuanBJusto,2,1,53,60,1,"2,3","0,5",2,0,13438395,Balance
43000000,1192,52439,Santiago,JuanMartínezdeRozas2454,1,1,37,32,,"4,2","0,8",1,0,11423079,Rosario
450987500,12500,549985,LasCondes,Huesca,3,3,95,269,2,"0,4","0,1",3,1,17347548,Bao Propiedades
65000000,1802,79268,Santiago,AvenidaMapocho&Esperanza,2,1,70,70,,"2,8","0,6",2,0,18368269,Puquén Propiedades
311722560,8640,380149,SanBernardo,esmeralda,3,1,120,540,3,"0,6","0,1",1,0,12918712,
822601200,22800,1003172,Peñalolén,Laspircas,4,4,437,761,3,"0,2","0,0",2,1,18216599,
223689800,6200,272792,Quilicura,Sevendecasaaislada,3,3,136,189,,"0,8","0,2",3,1,14514370,
245000000,6791,298780,SanJoaquín,SanJoaquín,6,3,140,436,2,"0,7","0,1",1,0,11688421,
90000000,2495,109756,Independencia,Independencia,2,1,85,100,,"2,0","0,4",2,0,18169111,
177000000,4906,215854,Pudahuel,RíoTrancura9741,3,2,83,119,2,"1,0","0,2",3,1,18153899,Consejo Hpotecario ltda
91243791,2529,111273,SanBernardo,Novavida,3,2,60,100,3,"2,0","0,4",1,1,13477952,Patricia Propiedades
974133000,27000,1187967,LaFlorida,Lientur,4,4,182,1600,5,"0,2","0,0",2,0,3002413,Sp Rios Propiedades
253851844,7036,309575,Pudahuel,HermosaCasa.ElRodeo,3,3,108,226,2,"0,7","0,1",3,1,13963142,Punto Exacto Corredora de Propiedades Ltda.
50510600,1400,61598,Colina,JoséDonoso,2,1,57,82,1,"3,6","0,7",2,0,11262833,
158747600,4400,193595,Lampa,LaMontañaNte.3650,3,3,84,133,2,"1,1","0,2",1,1,8722194,Behouse
119000000,3298,145122,PuenteAlto,VíctorPazEstenssoro,3,2,90,150,1,"1,5","0,3",3,1,17922586,Carolina Martinez Propiedades
1046291000,29000,1275965,Providencia,SantaIsabel,5,4,200,825,4,"0,2","0,0",2,1,17869698,Lorena Bavestrello
165638689,4591,201998,PuenteAlto,Sanmaximo,3,2,89,142,3,"1,1","0,2",1,1,17862616,Bissac
595303500,16500,725980,LaReina,SantaRita/Simónbolivar,4,3,165,550,8,"0,3","0,1",2,1,17715165,
279973040,7760,341431,Macul,MarioSilvaOssa3923,4,2,94,340,,"0,6","0,1",1,1,9558931,
130000000,3603,158537,PuenteAlto,Av.SanCarlos2051,3,3,70,110,2,"1,4","0,3",3,0,16146539,Puquén Propiedades
95000000,2633,115854,Talagante,Sanmartín,4,3,,,1,"1,9","0,4",2,0,17742639,
180000000,4989,219512,Peñalolén,MarTirreno,2,1,63,150,1,"1,0","0,2",1,1,17679495,Corredora Fuentes Propiedades
87311180,2420,106477,SanBernardo,PoemaAlmaMia1.144,3,1,50,87,,"2,1","0,4",3,0,17594962,
137352753,3807,167503,LaFlorida,Lupino,3,2,84,104,2,"1,3","0,3",2,0,15303374,Bissac
98500000,2730,120122,PuenteAlto,NemesioVicuña,,2,80,160,2,"1,8","0,4",1,0,17514389,Corvalan & Asociados
167767350,4650,204594,PuenteAlto,Ciudaddelsol,5,3,134,149,1,"1,1","0,2",2,1,15559905,Corvalan & Asociados
309197030,8570,377070,Pudahuel,CalleMalta,3,3,110,407,2,"0,6","0,1",1,0,14881068,Promoción Inmobiliaria
245337200,6800,299192,Pudahuel,AvenidaElRodeoPoniente,4,3,108,235,3,"0,7","0,1",3,0,17444730,Promoción Inmobiliaria
142115181,3939,173311,ElBosque,CapitánAvalos,4,3,242,349,1,"1,3","0,3",2,1,15844066,
